date,score,temperature_deviation,hrv_balance,recovery_index,resting_heart_rate
2025-11-23,72,0.03,40,100,45
2025-11-24,62,0.21,42,41,9
2025-11-25,66,-0.07,53,45,19
2025-11-26,73,0.03,52,74,39
2025-11-27,75,0.12,53,97,49
2025-11-28,72,0.1,56,75,23
2025-11-29,84,-0.26,65,100,79
2025-11-30,76,0.0,58,100,43
2025-12-01,71,0.17,62,100,7
2025-12-02,64,0.03,64,20,17
2025-12-03,59,0.03,58,47,1
2025-12-04,70,0.17,60,50,29
2025-12-05,66,-0.13,53,45,21
2025-12-06,81,0.03,55,100,68
2025-12-07,57,0.09,53,15,23
2025-12-08,73,-0.22,60,100,52
2025-12-09,70,0.2,56,47,44
2025-12-10,73,0.12,67,41,63
2025-12-11,69,0.25,60,60,37
2025-12-12,77,0.09,68,86,47
2025-12-13,60,0.47,73,100,30
2025-12-14,72,0.47,67,100,49
2025-12-15,54,0.71,61,100,1
2025-12-16,78,-0.03,74,100,33
2025-12-17,81,-0.18,68,100,62
2025-12-18,79,-0.19,63,63,73
2025-12-19,69,0.08,58,56,8
2025-12-20,82,0.07,69,100,74
2025-12-21,76,-0.01,55,92,28
2025-12-22,78,-0.11,66,100,56
2025-12-23,75,0.14,49,100,39
2025-12-24,78,0.14,63,82,49
2025-12-25,75,-0.02,54,98,51
2025-12-26,66,0.09,51,53,43
2025-12-27,75,-0.19,60,84,53
2025-12-28,81,-0.42,58,100,100
2025-12-29,76,-0.08,56,100,45
2025-12-30,79,0.03,60,76,64
2025-12-31,78,0.07,69,60,66
